critic1_losses,critic2_losses,actor_losses,alpha_losses,stats_win,stats_lose,mean_rewards,mean_win,mean_lose,eval_percent_win,eval_percent_lose
2.788344383,2.908399582,-9.56231308,0,0,0,-0.206175256,0,0,,
1.110184431,1.146987557,-9.52405262,0,0,1,-0.181676263,0,0.013513514,,
3.029349804,3.108364105,-9.361135483,0,0,0,-0.134978196,0,0,,
2.23294878,2.340020657,-9.675794601,0,0,1,-0.206251782,0,0.018867925,,
3.866291285,4.610437393,-9.772910118,0,0,0,-0.142122281,0,0,,
1.496640444,1.755705357,-9.800657272,0,0,1,-0.321670039,0,0.029411765,,
2.50372982,2.947111368,-9.907575607,0,0,0,-0.107659234,0,0,,
0.884230733,1.15591836,-10.2559824,0,0,1,-0.350096044,0,0.032258065,,
2.695122719,3.187072277,-10.31288528,0,0,0,-0.110871842,0,0,,
3.772904158,3.835123062,-10.738204,0,0,1,-0.374784828,0,0.033333333,,
1.317723274,1.517159224,-10.40031242,0,0,0,-0.041590372,0,0,,
4.327431202,4.920908928,-10.67599297,0,0,1,-0.126303984,0,0.010638298,,
1.226979136,1.275244355,-10.67046547,0,0,0,-0.167141364,0,0,,
0.990114212,0.981801152,-11.09797096,0,0,1,-0.108569812,0,0.007518797,,
2.679329395,3.121324778,-10.70319271,0,0,1,-0.081525219,0,0.004310345,,
2.741769314,2.693612576,-11.02047539,0,0,1,-0.336358073,0,0.03125,,
2.917290449,2.875893116,-11.30932713,0,0,0,-0.188011588,0,0,,
1.919000626,3.018164158,-11.10710716,0,1,0,0.158034715,0.016949153,0,,
2.663541794,2.417362928,-10.87026596,0,0,0,-0.185910645,0,0,,
2.729467869,3.173418045,-10.81427765,0,0,1,-0.200785249,0,0.017857143,,
1.05990088,1.264899373,-11.18231773,0,0,0,-0.137434087,0,0,,
2.131752014,2.707234383,-11.47535706,0,0,1,-0.163391388,0,0.013333333,,
3.124534845,3.094848394,-10.96935081,0,0,1,-0.173355041,0,0.013513514,,
2.044828892,1.772858262,-11.40978909,0,0,0,-0.0491052,0,0,,
1.537949681,1.485771418,-11.16590977,0,1,0,0.105177351,0.014492754,0,,
1.105163217,1.170531154,-11.84699154,0,0,1,-0.353894804,0,0.032258065,,
4.784212589,5.076647758,-11.02516556,0,1,0,-0.000780358,0.005617978,0,,
1.284987807,1.522839546,-11.56314659,0,0,0,-0.016285537,0,0,,
2.817095757,3.065790415,-11.97767448,0,0,0,-0.178452703,0,0,,
1.535886526,1.871840596,-11.79029465,0,1,0,0.169996781,0.017857143,0,,
1.121802568,1.471963406,-11.96138,0,0,0,-0.085302864,0,0,,
0.822483361,0.636015773,-12.81706047,0,0,1,-0.220263213,0,0.020408163,,
0.656883717,0.527023256,-12.96377373,0,0,0,-0.198930239,0,0,,
2.478644609,2.620017529,-12.70957375,0,0,1,-0.104495789,0,0.007194245,,
